弓弭の泉,〒028-4306　岩手県岩手郡岩手町大字御堂第3地割地内観光,文献によると天喜5年6月、安部頼時征伐(前九年の役)源頼義、義家父子が進軍した際、打続く炎暑に兵馬が苦しむのを忍びず、観音に求世祈念、義家が弓弭(ゆはず)を持って岩に刺したところ、泉がこんこんと湧き出て、兵馬を救ったと言われ、その泉は、今もなお湧き出でて、北上川の源泉となっています。
丹藤川渓流,〒028-4211　岩手県岩手郡岩手町川口地内観光,人里離れた山峡の渓流は春夏秋冬とそれぞれに美しい風景を見せてくれます。遊歩道があり、ヤマメやイワナなど釣り人にも人気のスポットです。
奥の嵐山,〒028-4211　岩手県岩手郡岩手町大字川口地内観光,岩手町川原新田から沼宮内稲荷神社に至る全長8.9kmの自然歩道です。起点の川原新田から登る子抱山周辺は、秋の紅葉が美しい。IGRいわて銀河鉄道の線路を渡り東へ進んでいくと、針葉樹林内の散策コースが続き、終点近くには、沼宮内代官所跡や沼宮内城址などの史跡があります。
岩手町観光案内所,〒028-4303　岩手県岩手郡岩手町大字江刈内6-1-4 プラザあい内観光,レンタカー、物産販売、観光案内等
くずまき高原牧場(社団法人葛巻町畜産開発公社),〒028-5402　岩手県岩手郡葛巻町葛巻40-57-125観光,日本一の公共牧場。宿泊、お食事、乳製品の購入から、アイスクリーム作りや様々な体験が可能。
平庭高原、インディペンデンス・トレール、フォレストボード,〒028-5401　岩手県岩手郡葛巻町/久慈市山形町観光,1枚650円で木板（長さ2m、幅20cm、厚さ4cm）を購入して頂き、木のレールに打ち付け木の道をつくるもの。木板には自由に絵やメッセージを書き入れることができます。
葛巻町森林公園キャンプ場,〒028-5402　岩手県岩手郡葛巻町葛巻40-57-6観光,白樺林に囲まれたキャンプ場。牧場体験ができるくずまき高原牧場に隣接している。
葛巻町社会体育館,〒028-5402　岩手県岩手郡葛巻町葛巻8-33-2観光,バスケットコート２面を楽に取れる広さのメインコートのほか、柔剣道場、トレーニング室も完備されています。
葛巻町総合運動公園,〒028-5402　岩手県岩手郡葛巻町葛巻5-170-1観光,400mトラック、野球場、多目的に利用できる運動広場、テニスコート、ゲートボール場、子供広場など設備が充実しております。スポーツ合宿の際は、隣接する宿泊施設「グリーンテージ」をご利用ください。
上外川高原,岩手県岩手郡葛巻町上外川高原観光,"町のシンボルでもある12基の風車(風力発電機)がそびえ立ち、広々とした牧野には牛が放牧され、眺望が見事な標高約1,000ｍの高原。"
七滝,〒028-5401　岩手県岩手郡葛巻町田部字下冬部観光,落差43mの滝が七段に分かれて流れ落ちている。滝の水は眼病に効くとされ、また、滝の近くにある七滝大明神は縁結びの神様として古くから土地の人々に大切にされてきている。自然も豊かでトレッキングにも最適な場所。
袖山高原,〒028-5403　岩手県岩手郡葛巻町袖山高原観光,"町のシンボルである３基の風車(風力発電機)がそびえ立つ、眺望が見事な標高約1,000mの高原。広々とした牧野には牛が放牧され、遠別岳への登山道にはブナやイチイの大木が見事な景観を造りトレッキングには最適。また、八戸市から太平洋に注ぐ馬淵川の源流もある。お食事はレストハウス袖山でどうぞ。"
平庭高原,〒028-5403　岩手県岩手郡葛巻町平庭高原観光,その数約30万本と言われる日本有数の白樺林とレンゲツツジの群生で知られる、標高約800mの高原。６月上旬のレンゲツツジと10月の紅葉が見どころ。新緑や初夏のトレッキングにも最適。
葛巻町森林公園,〒028-5402　岩手県岩手郡葛巻町葛巻40-57-6観光,身近かな自然に直接触れながらキャンプができる森林公園。
森のこだま館,〒028-5403　岩手県岩手郡葛巻町江刈1-95-55観光,山ぶどうや野の花々、地元産の大豆やそば粉など、平庭高原の豊かな自然の恵みを体感できる「ふるさとのものづくり」体験メニューが満載です。また、地産地消レストランでは、地元の自然食材、旬の食材にこだわったメニューを提供しています。
平庭高原の白樺林,〒028-5402　岩手県岩手郡葛巻町/久慈市山形町観光,白樺林にレンゲツツジが咲き誇る。
遠別岳,〒028-5401　岩手県岩手郡葛巻町観光,登山道入口から片道２時間程度で山頂へ。起伏も少なく、初心者でも楽しめるコースです。
雫石タクシー,〒020-0526　岩手県岩手郡雫石町上町31観光,雫石タクシー
ぬくもり温泉,〒020-0585　岩手県岩手郡雫石町長山岩手山7-32観光,雄大な自然に囲まれた山の湯の情趣にお洒落なリゾートマインドをプラス。木の香り漂う大浴場（ゆ〜ゆ〜）の露天風呂で，開放感を満喫できる。また，テニス，野球（レク），ゲートボール，パターボールのスポーツも楽しめ，冬は町内の各スキー場の拠点として便利である。
国見山荘,〒020-0582　岩手県岩手郡雫石町橋場竜川山観光,国見温泉にある日帰り温泉入浴施設。四季の自然美あふれる雄大な八幡平国立公園の中、秋田県との県境駒ヶ岳の南麓に位置する国見山荘は、湯治場としてのんびりと静養するに最適な環境。「緑の薬湯」と呼ばれる薬効抜群のエメラルドグリーンのお湯が自慢。　また隣接する国見キャンプ場は自然のままの姿を残した野趣あふれるキャンプ場。駒ケ岳の登山口に近く、登山のベースに最適。
雫石町歴史民俗資料館,〒020-0572　岩手県岩手郡雫石町西安庭第15地割39-7観光,昭和46年6月25日開設。御所湖のほとりにある博物館（郷土資料館、美術館、音楽館含む）。縄文時代晩期の土器・石器類・民具・農具などの民俗資料や古文書がある。
上丸遊歩道,〒020-0501　岩手県岩手郡雫石町,のんびりとした牧歌的風景の散策を楽しみながら，上丸牛舎構内，展示資料室を見学し，木立をぬけて乳業工場に至るコース。とくに春は桜並木が美しい。
網張キャンプ場,〒020-0585　岩手県岩手郡雫石町長山網張観光,休暇村の本館から徒歩30分の林間にある。本館と別館（網張温泉館）温泉浴場を利用できるのが魅力。また付近には大規模な網張温泉スキー場などのレジャー施設がある。フャイヤーサークル1，炊事場2トイレ1，管理棟1。
国見キャンプ場,〒020-0582　岩手県岩手郡雫石町橋場観光,駒ヶ岳の登山基地となっている国見温泉の手前、町営国見山荘から入る山麓のブナ林の中にあるが温泉も利用できる。
雫石町総合運動公園,〒020-0543　岩手県岩手郡雫石町高前田104観光,雫石総合運動公園は体育館や陸上競技場、野球場、テニスコート等、様々なスポーツが楽しめる総合施設です。町民のいこいの場、健康増進の場、スポーツ向上の場としてご利用下さい。
南八幡平自然休養林,〒020-0501　岩手県岩手郡雫石町観光,登山道、キャンプサイト、駐車場、旅館（3軒）、トイレ休憩舎在り
滝ノ上キャンプ場,〒020-0584　岩手県岩手郡雫石町西根観光,滝ノ上温泉そばのキャンプ場。近くに鳥越の滝がある。宿泊受付は滝観荘まで。
葛根田渓谷の紅葉,岩手県岩手郡雫石町,岩手山南麓を流れる葛根田川の上流部にあり、玄武洞から滝ノ上温泉まで約10ｋｍの渓谷。ブナの原生林をはじめ、多様な広葉樹が広がり紅葉が特に美しい。渓谷の奥には、「鳥越の滝」があり、岩肌から深緑の滝壺に落ちる約30ｍの滝はみごと。紅葉の見頃は例年10月上旬から中旬。
雫石川園地の桜,岩手県岩手郡雫石町,桜の季節、ＪＲ雫石駅の南を流れる雫石川園地には約200匹の鯉のぼりが掲揚される。雫石川のせせらぎを聞きながら、悠々と群をなして泳ぐ鯉のぼりと、桜並木の彩りが雫石の春の訪れを感じさせる。雫石川の堤防の上からは、立ち並んだ約150本の桜の木を見渡すことができる
